MaGV,GiangVien,MaLop,MaHP,TenHP,NamHoc,HocKy,SoSV,File Excel moi,Duong dan
GV0101,TS. Le Anh Hai,CNSH03,C25200303,Thuc hanh co so chuyen nganh CNSH,2025-2026,2,80,GV-GV0101_Lop-CNSH03_HP-C25200303_Thuc_hanh_co_so_chuyen_nganh_CNSH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-CNSH03_HP-C25200303_Thuc_hanh_co_so_chuyen_nganh_CNSH_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,CNTT02,C25200703,Thuc hanh co so chuyen nganh CNTT,2025-2026,2,80,GV-GV0101_Lop-CNTT02_HP-C25200703_Thuc_hanh_co_so_chuyen_nganh_CNTT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-CNTT02_HP-C25200703_Thuc_hanh_co_so_chuyen_nganh_CNTT_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,DC01,C25201103,Thuc hanh co so chuyen nganh DC,2025-2026,2,80,GV-GV0101_Lop-DC01_HP-C25201103_Thuc_hanh_co_so_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-DC01_HP-C25201103_Thuc_hanh_co_so_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,DC05,C25201503,Thuc hanh co so chuyen nganh DC,2025-2026,2,80,GV-GV0101_Lop-DC05_HP-C25201503_Thuc_hanh_co_so_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-DC05_HP-C25201503_Thuc_hanh_co_so_chuyen_nganh_DC_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,DTVT04,C25201903,Thuc hanh co so chuyen nganh DTVT,2025-2026,2,80,GV-GV0101_Lop-DTVT04_HP-C25201903_Thuc_hanh_co_so_chuyen_nganh_DTVT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-DTVT04_HP-C25201903_Thuc_hanh_co_so_chuyen_nganh_DTVT_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,HDH03,C25202303,Thuc hanh co so chuyen nganh HDH,2025-2026,2,80,GV-GV0101_Lop-HDH03_HP-C25202303_Thuc_hanh_co_so_chuyen_nganh_HDH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-HDH03_HP-C25202303_Thuc_hanh_co_so_chuyen_nganh_HDH_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,HH02,C25202703,Thuc hanh co so chuyen nganh HH,2025-2026,2,80,GV-GV0101_Lop-HH02_HP-C25202703_Thuc_hanh_co_so_chuyen_nganh_HH_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-HH02_HP-C25202703_Thuc_hanh_co_so_chuyen_nganh_HH_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,KHMT01,C25203103,Thuc hanh co so chuyen nganh KHMT,2025-2026,2,80,GV-GV0101_Lop-KHMT01_HP-C25203103_Thuc_hanh_co_so_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-KHMT01_HP-C25203103_Thuc_hanh_co_so_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,KHMT05,C25203503,Thuc hanh co so chuyen nganh KHMT,2025-2026,2,80,GV-GV0101_Lop-KHMT05_HP-C25203503_Thuc_hanh_co_so_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-KHMT05_HP-C25203503_Thuc_hanh_co_so_chuyen_nganh_KHMT_2025-2026_HK2_CO_DIEM.xlsx
GV0101,TS. Le Anh Hai,KHVL04,C25203903,Thuc hanh co so chuyen nganh KHVL,2025-2026,2,80,GV-GV0101_Lop-KHVL04_HP-C25203903_Thuc_hanh_co_so_chuyen_nganh_KHVL_2025-2026_HK2_CO_DIEM.xlsx,Theo_GiangVien/GV0101_TS._Le_Anh_Hai/GV-GV0101_Lop-KHVL04_HP-C25203903_Thuc_hanh_co_so_chuyen_nganh_KHVL_2025-2026_HK2_CO_DIEM.xlsx
