STT,MaGV,HoTen,MaKhoa,Email,SoHocPhanQuanLy,SoHocPhan_2025_2026_HK2
1,GV0101,TS. Lê Anh Hải,CNTT,gv0101@edu.vn,113,16
2,GV0102,ThS. Phạm Phương Hà,CNTT,gv0102@edu.vn,113,16
3,GV0201,TS. Phạm Hữu Nam,TTH,gv0201@edu.vn,113,16
4,GV0202,ThS. Hoàng Bảo Lan,TTH,gv0202@edu.vn,113,16
5,GV0301,TS. Hoàng Tuấn Sơn,VL,gv0301@edu.vn,113,16
6,GV0302,ThS. Huỳnh Mỹ My,VL,gv0302@edu.vn,113,16
7,GV0401,TS. Huỳnh Bảo Huy,HH,gv0401@edu.vn,113,16
8,GV0402,ThS. Phan Khánh Trang,HH,gv0402@edu.vn,113,16
9,GV0501,TS. Phan Nhật An,DC,gv0501@edu.vn,113,16
10,GV0502,ThS. Vũ Thị Bích,DC,gv0502@edu.vn,113,17
11,GV0601,TS. Vũ Minh Dũng,SH,gv0601@edu.vn,113,17
12,GV0602,ThS. Võ Thanh Giang,SH,gv0602@edu.vn,113,17
13,GV0701,TS. Võ Anh Long,CNSH,gv0701@edu.vn,113,17
14,GV0702,ThS. Đặng Phương Hương,CNSH,gv0702@edu.vn,113,17
15,GV0801,TS. Đặng Hữu Quân,KHMT,gv0801@edu.vn,113,17
16,GV0802,ThS. Bùi Bảo Mai,KHMT,gv0802@edu.vn,112,16
17,GV0901,TS. Bùi Tuấn Việt,HDH,gv0901@edu.vn,112,16
18,GV0902,ThS. Đỗ Mỹ Thảo,HDH,gv0902@edu.vn,112,16
19,GV1001,TS. Đỗ Bảo Đạt,KHVL,gv1001@edu.vn,112,16
20,GV1002,ThS. Hồ Khánh Anh,KHVL,gv1002@edu.vn,112,16
21,GV1101,TS. Hồ Nhật Cường,DTVT,gv1101@edu.vn,112,16
22,GV1102,ThS. Ngô Thị Dung,DTVT,gv1102@edu.vn,112,16
