STT,MaSV,HoTen,NgaySinh,NoiSinh,GioiTinh,MaLop,Email,KhoaHoc,BacDaoTao,LoaiHinhDT,NganhDT,ChuyenNganh,Khoa,TinhTrang
1,SV001,Trần Thanh Dung,2003-02-02,Hà Nội,Nữ,CNTT01,sv001@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
2,SV002,Lê Phương Hạnh,2004-03-03,Đà Nẵng,Nữ,CNTT01,sv002@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
3,SV003,Phạm Bảo Linh,2005-04-04,Cần Thơ,Nữ,CNTT01,sv003@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
4,SV004,Hoàng Mỹ Nga,2006-05-05,Đồng Nai,Nữ,CNTT01,sv004@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
5,SV005,Huỳnh Khánh Yến,2002-06-06,Bình Dương,Nữ,CNTT01,sv005@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
6,SV006,Phan Văn Cường,2003-07-07,Long An,Nam,CNTT01,sv006@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
7,SV007,Vũ Quốc Khang,2004-08-08,Tiền Giang,Nam,CNTT01,sv007@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
8,SV008,Võ Phương Lan,2005-09-09,Nghệ An,Nữ,CNTT01,sv008@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
9,SV009,Đặng Thanh Tùng,2006-10-10,Thanh Hóa,Nam,CNTT01,sv009@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
10,SV010,Bùi Gia Khôi,2002-11-11,Hải Phòng,Nam,CNTT01,sv010@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
11,SV011,Đỗ Khánh Bích,2003-12-12,Nam Định,Nữ,CNTT01,sv011@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
12,SV012,Hồ Thị Giang,2004-01-13,Quảng Nam,Nữ,CNTT01,sv012@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
13,SV013,Ngô Quốc Nam,2005-02-14,Khánh Hòa,Nam,CNTT01,sv013@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
14,SV014,Dương Đức Sơn,2006-03-15,Lâm Đồng,Nam,CNTT01,sv014@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
15,SV015,Lý Thanh Huy,2002-04-16,TP.HCM,Nam,CNTT01,sv015@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
16,SV016,Nguyễn Mỹ Anh,2003-05-17,Hà Nội,Nữ,CNTT01,sv016@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
17,SV017,Trần Khánh Dung,2004-06-18,Đà Nẵng,Nữ,CNTT01,sv017@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
18,SV018,Lê Thị Hạnh,2005-07-19,Cần Thơ,Nữ,CNTT01,sv018@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
19,SV019,Phạm Quốc Quân,2006-08-20,Đồng Nai,Nam,CNTT01,sv019@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
20,SV020,Hoàng Đức Việt,2002-09-21,Bình Dương,Nam,CNTT01,sv020@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
21,SV021,Huỳnh Bảo Yến,2003-10-22,Long An,Nữ,CNTT01,sv021@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
22,SV022,Phan Mỹ Chi,2004-11-23,Tiền Giang,Nữ,CNTT01,sv022@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
23,SV023,Vũ Khánh Hà,2005-12-24,Nghệ An,Nữ,CNTT01,sv023@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
24,SV024,Võ Thị Lan,2006-01-25,Thanh Hóa,Nữ,CNTT01,sv024@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
25,SV025,Đặng Thanh My,2002-02-26,Hải Phòng,Nữ,CNTT01,sv025@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
26,SV026,Bùi Đức Khôi,2003-03-27,Nam Định,Nam,CNTT01,sv026@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
27,SV027,Đỗ Thanh Bình,2004-04-01,Quảng Nam,Nam,CNTT01,sv027@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
28,SV028,Hồ Mỹ Giang,2005-05-02,Khánh Hòa,Nữ,CNTT01,sv028@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
29,SV029,Ngô Trọng Nam,2006-06-03,Lâm Đồng,Nam,CNTT01,sv029@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
30,SV030,Dương Văn Sơn,2002-07-04,TP.HCM,Nam,CNTT01,sv030@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
31,SV031,Lý Thanh Thảo,2003-08-05,Hà Nội,Nữ,CNTT01,sv031@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
32,SV032,Nguyễn Phương Anh,2004-09-06,Đà Nẵng,Nữ,CNTT01,sv032@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
33,SV033,Trần Thanh Dũng,2005-10-07,Cần Thơ,Nam,CNTT01,sv033@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
34,SV034,Lê Gia Long,2006-11-08,Đồng Nai,Nam,CNTT01,sv034@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
35,SV035,Phạm Trọng Quân,2002-12-09,Bình Dương,Nam,CNTT01,sv035@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
36,SV036,Hoàng Thị Nga,2003-01-10,Long An,Nữ,CNTT01,sv036@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
37,SV037,Huỳnh Thanh Yến,2004-02-11,Tiền Giang,Nữ,CNTT01,sv037@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
38,SV038,Phan Phương Chi,2005-03-12,Nghệ An,Nữ,CNTT01,sv038@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
39,SV039,Vũ Thanh Khang,2006-04-13,Thanh Hóa,Nam,CNTT01,sv039@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
40,SV040,Võ Gia Phong,2002-05-14,Hải Phòng,Nam,CNTT01,sv040@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
41,SV041,Đặng Khánh My,2003-06-15,Nam Định,Nữ,CNTT01,sv041@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
42,SV042,Bùi Thị Trang,2004-07-16,Quảng Nam,Nữ,CNTT01,sv042@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
43,SV043,Đỗ Thanh Bích,2005-08-17,Khánh Hòa,Nữ,CNTT01,sv043@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
44,SV044,Hồ Phương Giang,2006-09-18,Lâm Đồng,Nữ,CNTT01,sv044@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
45,SV045,Ngô Bảo Hương,2002-10-19,TP.HCM,Nữ,CNTT01,sv045@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
46,SV046,Dương Gia Sơn,2003-11-20,Hà Nội,Nam,CNTT01,sv046@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
47,SV047,Lý Trọng Huy,2004-12-21,Đà Nẵng,Nam,CNTT01,sv047@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
48,SV048,Nguyễn Thị Anh,2005-01-22,Cần Thơ,Nữ,CNTT01,sv048@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
49,SV049,Trần Quốc Dũng,2006-02-23,Đồng Nai,Nam,CNTT01,sv049@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
50,SV050,Lê Đức Long,2002-03-24,Bình Dương,Nam,CNTT01,sv050@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
51,SV051,Phạm Bảo Linh,2003-04-25,Long An,Nữ,CNTT01,sv051@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
52,SV052,Hoàng Mỹ Nga,2004-05-26,Tiền Giang,Nữ,CNTT01,sv052@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
53,SV053,Huỳnh Trọng Đạt,2005-06-27,Nghệ An,Nam,CNTT01,sv053@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
54,SV054,Phan Văn Cường,2006-07-01,Thanh Hóa,Nam,CNTT01,sv054@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
55,SV055,Vũ Quốc Khang,2002-08-02,Hải Phòng,Nam,CNTT01,sv055@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
56,SV056,Võ Phương Lan,2003-09-03,Nam Định,Nữ,CNTT01,sv056@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
57,SV057,Đặng Bảo My,2004-10-04,Quảng Nam,Nữ,CNTT01,sv057@student.edu.vn,2022-2026,Đại học,Chính quy,Công nghệ thông tin,Kỹ thuật phần mềm,CNTT,Đang học
